player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year,allstar
1627826,Ivica Zubac,LAC,25,60,0.533,29.4,4,6.5,0.619,0,0,0,2.2,3.1,0.703,3.3,6.8,10.1,1.1,1.7,0.4,1.3,10.2,-1.4,27.4,21,0,24.8,110.8,112.4,-1.6,0.05,0.61,0.176,16.1,0.619,0.65,0.144,97.87,81.56,0.103,2022,FALSE
1627827,Dorian Finney-Smith,BKN,29,49,0.449,31.6,3.1,7.8,0.405,1.8,5.3,0.34,0.7,0.9,0.739,1.6,3.3,4.9,1.5,0.9,0.8,0.5,8.8,0,20,1,0,19.7,113.6,113.2,0.3,0.068,1.64,0.08,8.7,0.522,0.538,0.127,96.29,80.24,0.061,2022,FALSE
1627832,Fred VanVleet,TOR,29,52,0.481,37,6.3,16.3,0.388,2.9,8.8,0.336,3.7,4.2,0.894,0.5,3.8,4.3,6.7,1.9,1.6,0.6,19.3,1.4,39.2,6,1,37.6,112.8,112.3,0.5,0.265,3.6,0.059,7,0.479,0.533,0.224,98.29,81.91,0.111,2022,FALSE
1627853,Ryan Arcidiacono,POR,28,14,0.571,5,0.3,1,0.286,0.3,0.6,0.444,0,0,0,0,0.7,0.7,0.6,0.2,0.1,0,0.9,-1.5,2.8,0,0,2.7,100.3,112.1,-11.8,0.163,2.67,0.069,12,0.429,0.429,0.101,104.54,87.11,0.043,2022,FALSE
1627854,Bryn Forbes,MIN,29,25,0.36,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,0.6,1,0.2,0.4,0.6,0.7,0.5,0.3,0.1,3.6,-1.9,5.9,0,0,6.1,108.8,115.9,-7.1,0.087,1.42,0.027,10.1,0.446,0.497,0.155,103.9,86.58,0.035,2022,FALSE
1627863,Danuel House Jr.,PHI,29,39,0.641,14.5,1.5,3.2,0.456,0.6,1.9,0.32,0.8,1.1,0.714,0.2,1.5,1.7,0.7,0.4,0.2,0.2,4.3,-1,8.2,0,0,8.1,111.4,111.4,0,0.066,1.53,0.061,9.1,0.552,0.585,0.123,100.81,84.01,0.056,2022,FALSE
1627884,Derrick Jones Jr.,CHI,26,49,0.408,14.4,1.8,3.6,0.506,0.4,1.1,0.327,1.1,1.4,0.794,1,1.5,2.5,0.6,0.4,0.4,0.6,5.1,1,11.7,0,0,10.6,112,107.8,4.2,0.056,1.45,0.084,7.9,0.557,0.608,0.132,102.21,85.18,0.077,2022,FALSE
1627936,Alex Caruso,CHI,29,54,0.426,24.1,1.9,4.3,0.437,0.9,2.3,0.371,0.9,1.2,0.81,0.6,2.6,3.1,3.2,1.3,1.6,0.6,5.5,3.1,19.4,1,0,17.1,111.7,105.5,6.2,0.167,2.46,0.067,14,0.537,0.578,0.109,100.26,83.55,0.073,2022,FALSE
1628365,Markelle Fultz,ORL,24,43,0.512,29.4,5.5,10.9,0.504,0.4,1.3,0.316,1.9,2.4,0.777,1.2,2.9,4.1,5.4,2.4,1.5,0.4,13.3,-2.7,29.4,2,0,26.9,107.8,112.7,-4.9,0.284,2.27,0.07,12.1,0.524,0.555,0.205,100.77,83.98,0.11,2022,FALSE
1628368,De'Aaron Fox,SAC,25,56,0.625,34.1,9.5,18.4,0.516,1.6,4.8,0.33,5,6.3,0.791,0.5,3.8,4.3,6.3,2.7,1.1,0.3,25.5,2.2,41.9,10,0,40.6,118.6,116,2.6,0.28,2.36,0.065,8.8,0.559,0.603,0.287,103.42,86.19,0.138,2022,TRUE
