player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year
201145,Jeff Green,DEN,35,21,0.476,23.9,3.3,7.1,0.463,0.8,2.6,0.309,2.2,2.8,0.793,0.4,2.2,2.6,1.1,0.9,0.2,0.4,9.6,-2.5,15.4,0,0,106.4,112.1,-5.7,0.068,1.21,0.056,8.8,0.52,0.576,0.174,97.23,81.03,0.065,2021
201152,Thaddeus Young,SAS,33,16,0.313,15.6,3.5,5.9,0.596,0,0.1,0,0.3,0.9,0.357,1.6,2,3.6,2.9,1.1,1,0.4,7.3,1.1,18.9,0,0,103.5,103.4,0.1,0.267,2.56,0.107,11,0.596,0.584,0.193,103.05,85.88,0.134,2021
201565,Derrick Rose,NYK,33,18,0.5,23.6,4.8,10.7,0.451,1.6,3.8,0.412,1,1.1,0.947,0.7,2.2,2.9,3.7,1.3,0.9,0.6,12.2,6.9,24.5,0,0,110.6,96.5,14,0.247,2.75,0.056,8.2,0.523,0.546,0.223,98.17,81.81,0.136,2021
201566,Russell Westbrook,LAL,33,23,0.522,36.2,7.7,17.3,0.445,1.3,4.4,0.307,4,5.8,0.684,1.3,6.9,8.2,8.6,4.7,1.3,0.2,20.7,-2,43.1,11,5,103.9,105.6,-1.7,0.373,1.82,0.105,14.2,0.484,0.521,0.278,104.18,86.81,0.133,2021
201567,Kevin Love,CLE,33,14,0.429,20.3,3.6,8.7,0.41,1.6,4.6,0.359,2.4,2.5,0.943,1.1,6.4,7.5,2,1,0.3,0.3,11.1,3.1,23.9,2,0,104,99.8,4.2,0.157,2,0.169,7.8,0.504,0.568,0.216,102.65,85.54,0.167,2021
201568,Danilo Gallinari,ATL,33,19,0.526,20.7,2.5,6.7,0.378,1.3,3.5,0.373,1.6,1.7,0.909,0.6,3.2,3.7,1.2,0.5,0.5,0.2,7.9,-0.9,16,0,0,107.8,109.1,-1.3,0.086,2.56,0.085,5.2,0.476,0.533,0.163,99.54,82.95,0.088,2021
201569,Eric Gordon,HOU,32,18,0.278,29.4,4.6,10.3,0.446,2.2,5.2,0.419,1.6,2.4,0.674,0.2,1.8,2,2.6,2.3,0.6,0.6,13,-2.8,20.7,0,0,100.3,105.7,-5.3,0.142,1.12,0.031,14.3,0.551,0.571,0.194,104.24,86.87,0.078,2021
201571,D.J. Augustin,HOU,34,17,0.176,12.4,1.1,2.8,0.383,0.8,2.1,0.371,0.8,0.9,0.933,0.1,0.6,0.8,1.9,1.2,0.2,0,3.7,-4.1,6.9,0,0,99.8,117,-17.2,0.232,1.65,0.03,18.8,0.521,0.588,0.137,108.12,90.1,0.059,2021
201572,Brook Lopez,MIL,33,1,1,28.2,3,9,0.333,2,4,0.5,0,0,0,2,3,5,0,0,1,3,8,0,26,0,0,113.4,124.5,-11.1,0,0,0.083,0,0.444,0.444,0.129,99.69,83.08,0.044,2021
201577,Robin Lopez,ORL,33,8,0.125,15.2,2.8,4.6,0.595,0,0.1,0,1.3,2,0.625,1.5,1.1,2.6,1,1.1,0,0.6,6.8,-4.6,12.2,0,0,97.3,113.5,-16.2,0.116,0.89,0.078,14.7,0.595,0.613,0.185,97.8,81.5,0.076,2021
201580,JaVale McGee,PHX,33,21,0.857,16,4.5,6.7,0.671,0,0,0,1.1,1.8,0.632,2.2,4.8,7,0.6,1.6,0.3,0.9,10.1,4.2,21.5,3,0,111.6,100.3,11.4,0.063,0.38,0.205,16.7,0.671,0.676,0.228,104.46,87.05,0.167,2021
201586,Serge Ibaka,LAC,32,8,0.5,13.1,1.6,4.8,0.342,0.6,1.9,0.333,0.6,1,0.625,0.9,2.4,3.3,1,0.8,0.3,0.4,4.5,-2,11,0,0,96.4,101,-4.6,0.133,1.33,0.117,10.8,0.408,0.434,0.193,97.92,81.6,0.057,2021
201587,Nicolas Batum,LAC,32,14,0.643,27.6,3.6,6.9,0.521,2.3,5.2,0.438,0.4,0.7,0.5,0.5,5,5.5,1.5,0.8,1.1,0.8,9.8,1.3,23.6,0,0,103.1,101.2,1.9,0.079,1.91,0.093,8.3,0.688,0.682,0.12,102.03,85.02,0.116,2021
201588,George Hill,MIL,35,21,0.667,27.2,2.9,6.3,0.451,1,3,0.339,1.1,1.2,0.96,1,2.7,3.7,2.5,1.1,0.9,0.1,7.9,8.2,17.9,0,0,111.7,97.4,14.3,0.12,2.26,0.062,10.5,0.53,0.573,0.123,100.84,84.03,0.075,2021
201599,DeAndre Jordan,LAL,33,20,0.55,13.8,2.3,3.2,0.703,0,0,0,0.3,0.5,0.6,1.7,4.3,6,0.4,0.8,0.4,0.9,4.8,-2.2,15.4,0,0,97.5,103.8,-6.3,0.042,0.5,0.194,17.3,0.703,0.702,0.125,104.88,87.4,0.136,2021
201609,Goran Dragic,TOR,35,5,0.2,17.9,2.6,6.8,0.382,0.8,2.8,0.286,2,2,1,0.4,2.4,2.8,1.8,0.2,1,0.2,8,-4.4,17.5,0,0,94.9,106.6,-11.7,0.18,9,0.074,2.1,0.441,0.521,0.172,102.69,85.57,0.126,2021
201933,Blake Griffin,BKN,32,17,0.765,21.7,2,6.3,0.318,0.5,3.3,0.161,0.9,1.4,0.696,1.2,3.7,4.9,2,0.5,0.5,0.6,5.5,3.4,17.2,1,0,109.8,101.7,8.1,0.124,3.78,0.109,5.6,0.36,0.397,0.145,102.87,85.73,0.056,2021
201935,James Harden,BKN,32,21,0.714,35.5,6,14.4,0.416,2.7,7.5,0.363,6.2,7,0.897,1,6.9,8,9.3,5,1.5,0.8,21,2.6,46.2,13,4,109.5,104.5,5.1,0.395,1.87,0.108,15.7,0.51,0.599,0.27,101.34,84.45,0.159,2021
201937,Ricky Rubio,CLE,31,22,0.545,29.2,4.5,12.6,0.36,2,5.5,0.352,2.8,3.2,0.859,0.5,3.6,4,6.3,3,1.3,0.1,13.8,4.8,29.3,3,0,106.5,100.8,5.7,0.33,2.06,0.066,13,0.437,0.492,0.244,100.23,83.53,0.102,2021
201939,Stephen Curry,GSW,33,20,0.85,34.3,9.2,20.3,0.452,5.4,13.1,0.412,4.1,4.4,0.943,0.6,5.1,5.7,6.6,3.2,1.8,0.6,27.8,13.4,48.3,6,1,115.1,96.6,18.5,0.306,2.06,0.079,10,0.585,0.627,0.301,103.07,85.89,0.183,2021
